quote,author,tags
"ifyouaregoingthroughhell,keepgoing.",Winston S. Churchill,"['hell', 'perseverance']"
"shouldikillmyself,orhaveacupofcoffee",Albert Camus,[]
"lovedoesntjustsitthere,likeastone,ithastobemade,likebreadremadeallthetime,madenew.","Ursula K. Le Guin,",['love']
"iwouldhavecomeforyou.andificouldntwalk,idcrawltoyou,andnomatterhowbrokenwewere,wedfightourwayouttogetherknivesdrawn,pistolsblazing.becausethatswhatwedo.weneverstopfighting.","Leigh Bardugo,","['crooked-kingdom', 'inej-ghafa', 'kaz-brekker', 'six-of-crows']"
ilietomyselfallthetime.butineverbelieveme.,"S.E. Hinton,","['lies', 'lying', 'self-deception', 'truth']"
"butwhopraysforsatanwho,ineighteencenturies,hashadthecommonhumanitytoprayfortheonesinnerthatneededitmost",Mark Twain,['humor-satan']
timeflieslikeanarrowfruitflieslikeabanana.,Anthony G. Oettinger,"['humor', 'misattributed-to-groucho-marx', 'time']"
percywouldntnoticeajokeifitdancednakedinfrontofhimwearingoneofdobbyshats.,"J.K. Rowling,",['humor']
"neverbeafraidtoraiseyourvoiceforhonestyandtruthandcompassionagainstinjusticeandlyingandgreed.ifpeopleallovertheworld...woulddothis,itwouldchangetheearth.",William Faulkner,"['advocacy', 'dissent', 'protest', 'truth', 'truth-telling']"
"booksarelikemirrorsifafoollooksin,youcannotexpectageniustolookout.",J.K. Rowling,['books']
"butidontwanttogoamongmadpeople,aliceremarked.oh,youcanthelpthat,saidthecatwereallmadhere.immad.youremad.howdoyouknowimmadsaidalice.youmustbe,saidthecat,oryouwouldnthavecomehere.","Lewis Carroll,",['alice-s-adventures-in-wonderland']
nothingofmeisoriginal.iamthecombinedeffortofeveryoneiveeverknown.,"Chuck Palahniuk,","['identity', 'originality']"
thedifferencebetweenthealmostrightwordandtherightwordisreallyalargematter.tisthedifferencebetweenthelightningbugandthelightning.,"Mark Twain,",['writing']
"ilikeyourchrist,idonotlikeyourchristians.yourchristiansaresounlikeyourchrist.",Mahatma Gandhi,"['anti-christian', 'christianity', 'christians', 'jesus-christ']"
"ithinkgod,increatingman,somewhatoverestimatedhisability.",Oscar Wilde,"['creation', 'god', 'humor', 'man']"
"whatiwantistobeneeded.whatineedistobeindispensabletosomebody.whoineedissomebodythatwilleatupallmyfreetime,myego,myattention.somebodyaddictedtome.amutualaddiction.","Chuck Palahniuk,",['love']
"readingwasmyescapeandmycomfort,myconsolation,mystimulantofchoicereadingforthepurepleasureofit,forthebeautifulstillnessthatsurroundsyouwhenyouhearanauthorswordsreverberatinginyourhead.","Paul Auster,","['books', 'reading']"
storiesofimaginationtendtoupsetthosewithoutone.,Terry Pratchett,"['fantasy', 'humor', 'imagination', 'literature', 'stories']"
itisntwhatyouhaveorwhoyouareorwhereyouareorwhatyouaredoingthatmakesyouhappyorunhappy.itiswhatyouthinkaboutit.,"Dale Carnegie,","['attitude', 'contentment', 'happiness', 'inspirational', 'life']"
agirlshouldbetwothingsclassyandfabulous.,Coco Chanel,"['beauty', 'class', 'fashion', 'girls', 'women']"
"whatineedisthedandelioninthespring.thebrightyellowthatmeansrebirthinsteadofdestruction.thepromisethatlifecangoon,nomatterhowbadourlosses.thatitcanbegoodagain.","Suzanne Collins,","['inspirational', 'love']"
"ilovepeoplewhomakemelaugh.ihonestlythinkitsthethingilikemost,tolaugh.itcuresamultitudeofills.itsprobablythemostimportantthinginaperson.",Audrey Hepburn,['laughter']
"whenamangiveshisopinion,hesaman.whenawomangivesheropinion,shesabitch.",Bette Davis,"['clichÃ©s', 'double-standards', 'empowerment', 'feminism', 'gender', 'hypocrisy', 'misogyny', 'opinions', 'speaking-out', 'stereotypes', 'women']"
"mydaddysaid,thatthefirsttimeyoufallinlove,itchangesyouforeverandnomatterhowhardyoutry,thatfeelingjustnevergoesaway.","Nicholas Sparks,","['love', 'nicholas', 'nicholas-sparks', 'sparks', 'the-notebook']"
"idonttrustpeoplewhodontlovethemselvesandtellme,iloveyou....thereisanafricansayingwhichisbecarefulwhenanakedpersonoffersyouashirt.",Maya Angelou,"['1997', 'annie-clark-tanner-lecture', 'inspirational', 'love', 'trust']"
everychildisanartist.theproblemishowtoremainanartistoncehegrowsup.,Pablo Picasso,['art']
deadlinesjustarentrealtomeuntilimstaringoneintheface.,"Rick Riordan,","['deadlines', 'humor', 'procrastinate']"
"lovedoesnotconsistofgazingateachother,butinlookingoutwardtogetherinthesamedirection.","Antoine de Saint-ExupÃ©ry,",['love']
"ithurtstoletgo.sometimesitseemstheharderyoutrytoholdontosomethingorsomeonethemoreitwantstogetaway.youfeellikesomekindofcriminalforhavingfelt,forhavingwanted.forhavingwantedtobewanted.itconfusesyou,becauseyouthinkthatyourfeelingswerewronganditmakesyoufeelsosmallbecauseitssohardtokeepitinsidewhenyouletitoutanditdoesntcomaback.youreleftsoalonethatyoucantexplain.damn,theresnothinglikethat,isthereivebeenthereandyouhavetoo.yourenoddingyourhead.","Henry Rollins,","['life', 'love', 'relationships']"
inevertravelwithoutmydiary.oneshouldalwayshavesomethingsensationaltoreadinthetrain.,"Oscar Wilde,","['drama', 'humor', 'plays']"
thefuturebelongstothosewhobelieveinthebeautyoftheirdreams.,Eleanor Roosevelt,"['dreams', 'future', 'inspirational', 'misattributed-eleanor-roosevelt']"
youcannotswimfornewhorizonsuntilyouhavecouragetolosesightoftheshore.,William Faulkner,"['courage', 'determination', 'hope', 'risk']"
"and,intheendtheloveyoutakeisequaltotheloveyoumake.","Paul McCartney,","['beatles', 'inspirational', 'live', 'love', 'music']"
livethelifeofyourdreamsbebraveenoughtolivethelifeofyourdreamsaccordingtoyourvisionandpurposeinsteadoftheexpectationsandopinionsofothers.,"Roy T. Bennett,","['brave', 'courage', 'dreams', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'purpose', 'vision']"
"therearethreethingsallwisemenfeartheseainstorm,anightwithnomoon,andtheangerofagentleman.","Patrick Rothfuss,","['fear', 'name-of-the-wind', 'patrick-rothfuss', 'wisdom']"
nobookisreallyworthreadingattheageoftenwhichisnotequallyandoftenfarmoreworthreadingattheageoffiftyandbeyond.,C.S. Lewis,"['age', 'books', 're-reading', 'reading']"
"ifhesnotcallingyou,itsbecauseyouarenotonhismind.ifhecreatesexpectationsforyou,andthendoesntfollowthroughonlittlethings,hewilldosameforbigthings.beawareofthisandrealizethathesokaywithdisappointingyou.dontbewithsomeonewhodoesntdowhattheysaytheyregoingtodo.ifheschoosingnottomakeasimpleeffortthatwouldputyouateaseandbringharmonytoarecurringfight,thenhedoesntrespectyourfeelingsandneeds.busyisanotherwordforasshole.assholeisanotherwordfortheguyyouredating.youdeserveafckingphonecall.",Greg Behrendt,"['busy', 'call', 'dating', 'dating-advice', 'faith', 'greg-behrendt', 'guys', 'he-s-not-just-into-you', 'love', 'marriage', 'romance', 'true']"
"whydoyougoawaysothatyoucancomeback.sothatyoucanseetheplaceyoucamefromwithneweyesandextracolors.andthepeoplethereseeyoudifferently,too.comingbacktowhereyoustartedisnotthesameasneverleaving.","Terry Pratchett,","['adventure', 'change', 'discworld', 'growth', 'travel']"
"itwasloveatfirstsight,atlastsight,ateverandeversight.","Vladimir Nabokov,","['humbert-humbert', 'love']"
"resistmuch,obeylittle.","Walt Whitman,",['poetry']
"loyaltytocountryalways.loyaltytogovernment,whenitdeservesit.",Mark Twain,"['patriotism', 'politics']"
"ilikeliving.ihavesometimesbeenwildly,despairingly,acutelymiserable,rackedwithsorrowbutthroughitallistillknowquitecertainlythatjusttobealiveisagrandthing.",Agatha Christie,['inspirational']
"ifyoulovesomebody,letthemgo,foriftheyreturn,theywerealwaysyours.iftheydont,theyneverwere.",Kahlil Gibran,"['life', 'love', 'romance']"
mytastesaresimpleiameasilysatisfiedwiththebest.,Winston S. Churchill,"['humor', 'taste']"
idontwanttodiewithoutanyscars.,"Chuck Palahniuk,","['death', 'scars', 'tyler-durden']"
"believeinyourself.youarebraverthanyouthink,moretalentedthanyouknow,andcapableofmorethanyouimagine.","Roy T. Bennett,","['achievement', 'believe-in-yourself', 'brave', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'talent']"
"truthisstrangerthanfiction,butitisbecausefictionisobligedtosticktopossibilitiestruthisnt.","Mark Twain,","['books', 'truth']"
"ifmusicbethefoodoflove,playon,givemeexcessofitthatsurfeiting,theappetitemaysicken,andsodie.","William Shakespeare,","['music', 'romance', 'unrequited-love']"
"showmeahero,andillwriteyouatragedy.",F. Scott Fitzgerald,['f-scott-fitzgerald']
"itsadangerousbusiness,frodo,goingoutyourdoor.youstepontotheroad,andifyoudontkeepyourfeet,theresnoknowingwhereyoumightbesweptoffto.","J.R.R. Tolkien,",['wisdom']
"idonotfeardeath.ihadbeendeadforbillionsandbillionsofyearsbeforeiwasborn,andhadnotsufferedtheslightestinconveniencefromit.",Mark Twain,"['death', 'inspirational']"
angrypeoplearenotalwayswise.,"Jane Austen,","['anger', 'jane-austen', 'wisdom']"
"bythreemethodswemaylearnwisdomfirst,byreflection,whichisnoblestsecond,byimitation,whichiseasiestandthirdbyexperience,whichisthebitterest.",Confucious,['wisdom']
"whatisaninstantdeathanywayhowlongisaninstantisitonesecondtenthepainofthosesecondsmusthavebeenawfulasherheartburstandherlungscollapsedandtherewasnoairandnobloodtoherbrainandonlyrawpanic.whatthehellisinstantnothingisinstant.instantricetakesfiveminutes,instantpuddinganhour.idoubtthataninstantofblindingpainfeelsparticularlyinstantaneous.","John Green,",['looking-for-alaska']
"iamnotsureexactlywhatheavenwillbelike,butiknowthatwhenwedieanditcomestimeforgodtojudgeus,hewillnotask,howmanygoodthingshaveyoudoneinyourliferatherhewillask,howmuchlovedidyouputintowhatyoudid",Mother Teresa,"['inspirational', 'love']"
tobeachristianmeanstoforgivetheinexcusablebecausegodhasforgiventheinexcusableinyou.,C.S. Lewis,"['christianity', 'forgiveness', 'god']"
"inthecaseofgoodbooks,thepointisnottoseehowmanyofthemyoucangetthrough,butratherhowmanycangetthroughtoyou.",Mortimer J. Adler,"['books', 'reading']"
"sheistoofondofbooks,andithasturnedherbrain.","Louisa May Alcott,",['books']
"youhaventgotaletteronyours,georgeobserved.isupposeshethinksyoudontforgetyourname.butwerenotstupidweknowwerecalledgredandforge.","J.K. Rowling,",['humor']
willlookedhorrified.whatkindofmonstercouldpossiblyhatechocolate,"Cassandra Clare,","['chocolate', 'monsters']"
nomedicinecureswhathappinesscannot.,Gabriel GarcÃ­a MÃ¡rquez,['happiness']
"itsametaphor,seeyouputthekillingthingrightbetweenyourteeth,butyoudontgiveitthepowertodoitskilling.","John Green,","['john-green', 'the-fault-in-our-stars']"
"iamabadass,andirecognizethatyou,too,areabadass.",Cassandra Clare,['simon']
"becausenerdslikeusareallowedtobeunironicallyenthusiasticaboutstuff.nerdsareallowedtolovestuff,likejumpupanddowninthechaircantcontrolyourselfloveit.hank,whenpeoplecallpeoplenerds,mostlywhattheyresayingisyoulikestuff.whichisjustnotagoodinsultatall.like,youaretooenthusiasticaboutthemiracleofhumanconsciousness.",John Green,['nerdfighters']
"dontwasteyourtimeinanger,regrets,worries,andgrudges.lifeistooshorttobeunhappy.",Roy T. Bennett,"['anger', 'grudge', 'happiness', 'happy', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'regret', 'time', 'worry']"
fictionisthetruthinsidethelie.,Stephen King,['writing']
"thetownwaspaper,butthememorieswerenot.","John Green,",['memories']
"thefactthatweliveatthebottomofadeepgravitywell,onthesurfaceofagascoveredplanetgoingaroundanuclearfireball90millionmilesawayandthinkthistobenormalisobviouslysomeindicationofhowskewedourperspectivetendstobe.","Douglas Adams,","['humor', 'perspective', 'science']"
mynightmaresareusuallyaboutlosingyou.imokayonceirealizeyourehere.,"Suzanne Collins,",['romantic']
"andnowthesethreeremainfaith,hopeandlove.butthegreatestoftheseislove.","Anonymous,","['faith', 'god', 'hope', 'love']"
donttellmethemoonisshiningshowmetheglintoflightonbrokenglass.,Anton Chekhov,"['broken-glass', 'glass', 'moon', 'moonshine', 'show-don-t-tell', 'writing']"
"wereallseekingthatspecialpersonwhoisrightforus.butifyouvebeenthroughenoughrelationships,youbegintosuspecttheresnorightperson,justdifferentflavorsofwrong.whyisthisbecauseyouyourselfarewronginsomeway,andyouseekoutpartnerswhoarewronginsomecomplementaryway.butittakesalotoflivingtogrowfullyintoyourownwrongness.anditisntuntilyoufinallyrunupagainstyourdeepestdemons,yourunsolvableproblemstheonesthatmakeyoutrulywhoyouarethatwerereadytofindalifelongmate.onlythendoyoufinallyknowwhatyourelookingfor.yourelookingforthewrongperson.butnotjustanywrongpersonitsgottobetherightwrongpersonsomeoneyoulovinglygazeuponandthink,thisistheproblemiwanttohave.iwillfindthatspecialpersonwhoiswrongformeinjusttherightway.","Andrew  Boyd,","['being-loved', 'completion', 'inspirational', 'love', 'relationships']"
theroadtohellispavedwithadverbs.,"Stephen King,",['writing']
"itsonlyafteryouvesteppedoutsideyourcomfortzonethatyoubegintochange,grow,andtransform.",Roy T. Bennett,"['change', 'focus', 'grow', 'growth', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'stay-focused', 'step-out-of-comfort-zone', 'transform']"
"wow,thaliamuttered.apolloishot.hesthesungod,isaid.thatsnotwhatimeant.","Rick Riordan,","['apollo', 'gods', 'hot', 'olympians', 'percy-jackson', 'sun', 'thalia']"
"whenheshalldie,takehimandcuthimoutinlittlestars,andhewillmakethefaceofheavensofinethatalltheworldwillbeinlovewithnightandpaynoworshiptothegarishsun.","William Shakespeare,","['death', 'light', 'stars']"
"loveisafire.butwhetheritisgoingtowarmyourhearthorburndownyourhouse,youcannevertell.",Joan Crawford,['love']
feardoesntshutyoudownitwakesyouup,"Veronica Roth,","['divergent', 'fear']"
"whydopeoplehavetobethislonelywhatsthepointofitallmillionsofpeopleinthisworld,allofthemyearning,lookingtootherstosatisfythem,yetisolatingthemselves.whywastheearthputherejusttonourishhumanloneliness","Haruki Murakami,","['isolation', 'loneliness', 'sadness']"
"themostimportantthingsarethehardesttosay.theyarethethingsyougetashamedof,becausewordsdiminishthemwordsshrinkthingsthatseemedlimitlesswhentheywereinyourheadtonomorethanlivingsizewhentheyrebroughtout.butitsmorethanthat,isntitthemostimportantthingslietooclosetowhereveryoursecretheartisburied,likelandmarkstoatreasureyourenemieswouldlovetostealaway.andyoumaymakerevelationsthatcostyoudearlyonlytohavepeoplelookatyouinafunnyway,notunderstandingwhatyouvesaidatall,orwhyyouthoughtitwassoimportantthatyoualmostcriedwhileyouweresayingit.thatstheworst,ithink.whenthesecretstayslockedwithinnotforwantofatellerbutforwantofanunderstandingear.",Stephen King,['writing']
"loveconquersall,aphroditepromised.lookathelenandparis.didtheyletanythingcomebetweenthemdidnttheystartthetrojanwarandgetthousandsofpeoplekilledpfft.thatsnotthepoint.followyourheart.","Rick Riordan,","['humor', 'true-love']"
youdonotwriteyourlifewithwords...youwriteitwithactions.whatyouthinkisnotimportant.itisonlyimportantwhatyoudo.,"Patrick Ness,","['philosophy', 'wisdom']"
maybeokaywillbeouralways,"John Green,","['augustus-waters', 'hazel-grace']"
freedomisnotworthhavingifitdoesnotincludethefreedomtomakemistakes.,Mahatma Gandhi,"['freedom', 'humanity', 'mistakes']"
"dontlettheexpectationsandopinionsofotherpeopleaffectyourdecisions.itsyourlife,nottheirs.dowhatmattersmosttoyoudowhatmakesyoufeelaliveandhappy.dontlettheexpectationsandideasofotherslimitwhoyouare.ifyouletotherstellyouwhoyouare,youarelivingtheirrealitynotyours.thereismoretolifethanpleasingpeople.thereismuchmoretolifethanfollowingothersprescribedpath.thereissomuchmoretolifethanwhatyouexperiencerightnow.youneedtodecidewhoyouareforyourself.becomeawholebeing.adventure.",Roy T. Bennett,"['action', 'adventure', 'authentic-living', 'authentic-self', 'authenticity', 'confidence', 'experience', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'who-you-are', 'whole-being']"
lifesundernoobligationtogiveuswhatweexpect.,Margaret Mitchell,"['expectation', 'hope', 'life']"
"itsstrangebecausesometimes,ireadabook,andithinkiamthepeopleinthebook.","Stephen Chbosky,",['books-reading']
"mydear,findwhatyouloveandletitkillyou.letitdrainyouofyourall.letitclingontoyourbackandweighyoudownintoeventualnothingness.letitkillyouandletitdevouryourremains.forallthingswillkillyou,bothslowlyandfastly,butitsmuchbettertobekilledbyalover.falselyyours",Kinky Friedman,"['death', 'love']"
"happinessishavingalarge,loving,caring,closeknitfamilyinanothercity.",George Burns,"['family', 'happiness', 'humor']"
"dontorderanyofthefaeriefood,saidjace,lookingatheroverthetopofhismenu.ittendstomakehumansalittlecrazy.oneminuteyouremunchingafaerieplum,thenextminuteyourerunningnakeddownmadisonavenuewithantlersonyourhead.not,headdedhastily,thatthishaseverhappenedtome.","Cassandra Clare,","['cassandra-clare', 'city-of-bones', 'jace', 'mortal-instruments']"
"moresmiling,lessworrying.morecompassion,lessjudgment.moreblessed,lessstressed.morelove,lesshate.","Roy T. Bennett,","['authentic-living', 'being-positive', 'blessed', 'compassion', 'hate', 'inspiration', 'inspirational', 'inspirational-quotes', 'judgment', 'less-more', 'life', 'life-purpose', 'life-quotes', 'living', 'love', 'mind', 'motivation', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'smile', 'smiles', 'spirituality', 'stress', 'stressed', 'worry', 'worrying']"
nobodycanhurtmewithoutmypermission.,Mahatma Gandhi,"['fighting', 'hurt', 'inner-peace', 'peace', 'permission', 'strength', 'trial']"
dontjudgeeachdaybytheharvestyoureapbutbytheseedsthatyouplant.,Robert Louis Stevenson,"['day', 'inspirational', 'judge', 'plant', 'reap', 'seed', 'seeds', 'sow']"
"fireiscatchingandifweburn,youburnwithus","Suzanne Collins,",['mockingjay']
"butiknow,somehow,thatonlywhenitisdarkenoughcanyouseethestars.","Martin Luther King, Jr.","['hope', 'inspirational']"
"youaretheanswertoeveryprayeriveoffered.youareasong,adream,awhisper,andidontknowhowicouldhavelivedwithoutyouforaslongasihave.","Nicholas Sparks,",['love']
iwasneverreallyinsaneexceptuponoccasionswhenmyheartwastouched.,Edgar Allan Poe,['inspiration']
"sometimescryingorlaughingaretheonlyoptionsleft,andlaughingfeelsbetterrightnow.","Veronica Roth,","['crying', 'laughter', 'options']"
whatyouseekisseekingyou.,Mawlana Jalal-al-Din Rumi,"['attraction', 'rumi', 'sufi']"
itsnotdenial.imjustselectiveabouttherealityiaccept.,Bill Watterson,['calvin-and-hobbes-reality']
thebestandmostbeautifulthingsintheworldcannotbeseenoreventouched.theymustbefeltwiththeheart,Helen Keller,"['by-anne-sullivan', 'emotions', 'feelings']"
youprobablywouldntworryaboutwhatpeoplethinkofyouifyoucouldknowhowseldomtheydo.,Olin Miller,"['confidence', 'misattributed-eleanor-roosevelt', 'others', 'think', 'worry']"
"ihavesomethingineedtotellyou,hesays.irunmyfingersalongthetendonsinhishandsandlookbackathim.imightbeinlovewithyou.hesmilesalittle.imwaitinguntilimsuretotellyou,though.thatssensibleofyou,isay,smilingtoo.weshouldfindsomepapersoyoucanmakealistorachartorsomething.ifeelhislaughteragainstmyside,hisnoseslidingalongmyjaw,hislipspressingmyear.maybeimalreadysure,hesays,andijustdontwanttofrightenyou.ilaughalittle.thenyoushouldknowbetter.fine,hesays.theniloveyou.","Veronica Roth,","['beatrice', 'divergent', 'humor', 'love', 'tobias']"
wrinklesshouldmerelyindicatewherethesmileshavebeen.,Mark Twain,['age']
"simplicity,patience,compassion.thesethreeareyourgreatesttreasures.simpleinactionsandthoughts,youreturntothesourceofbeing.patientwithbothfriendsandenemies,youaccordwiththewaythingsare.compassionatetowardyourself,youreconcileallbeingsintheworld.","Lao Tzu,","['inspirational', 'life', 'philosophy']"
"thesocalledpsychoticallydepressedpersonwhotriestokillherselfdoesntdosooutofquotehopelessnessoranyabstractconvictionthatlifesassetsanddebitsdonotsquare.andsurelynotbecausedeathseemssuddenlyappealing.thepersoninwhomitsinvisibleagonyreachesacertainunendurablelevelwillkillherselfthesamewayatrappedpersonwilleventuallyjumpfromthewindowofaburninghighrise.makenomistakeaboutpeoplewholeapfromburningwindows.theirterroroffallingfromagreatheightisstilljustasgreatasitwouldbeforyouormestandingspeculativelyatthesamewindowjustcheckingouttheviewi.e.thefearoffallingremainsaconstant.thevariablehereistheotherterror,thefiresflameswhentheflamesgetcloseenough,fallingtodeathbecomestheslightlylessterribleoftwoterrors.itsnotdesiringthefallitsterroroftheflames.andyetnobodydownonthesidewalk,lookingupandyellingdontandhangon,canunderstandthejump.notreally.youdhavetohavepersonallybeentrappedandfeltflamestoreallyunderstandaterrorwaybeyondfalling.",David Foster Wallace,"['depression', 'suicide']"
"ifpainmustcome,mayitcomequickly.becauseihavealifetolive,andineedtoliveitinthebestwaypossible.ifhehastomakeachoice,mayhemakeitnow.theniwilleitherwaitforhimorforgethim.","Paulo Coelho,","['forgetting', 'hope', 'love', 'pain', 'suffering', 'waiting']"
"yesterdayiwasclever,soiwantedtochangetheworld.todayiamwise,soiamchangingmyself.",Rumi,"['change', 'cleverness', 'misattributed', 'self', 'wisdom', 'world']"
"wordsare,ofcourse,themostpowerfuldrugusedbymankind.",Rudyard Kipling,['words']
thetruthdoesnotchangeaccordingtoourabilitytostomachit.,Flannery O'Connor,['truth']
theworstpartofholdingthememoriesisnotthepain.itsthelonelinessofit.memoriesneedtobeshared.,"Lois Lowry,","['loneliness', 'memories', 'pain', 'share']"
"thepastisaplaceofreference,notaplaceofresidencethepastisaplaceoflearning,notaplaceofliving.","Roy T. Bennett,","['inspirational', 'life-and-living', 'life-lessons']"
"whatisayis,atownisntatownwithoutabookstore.itmaycallitselfatown,butunlessitsgotabookstore,itknowsitsnotfoolinasoul.","Neil Gaiman,","['books', 'bookstore', 'towns']"
"dontjustdontjustlearn,experience.dontjustread,absorb.dontjustchange,transform.dontjustrelate,advocate.dontjustpromise,prove.dontjustcriticize,encourage.dontjustthink,ponder.dontjusttake,give.dontjustsee,feel.dontjustdream,do.dontjusthear,listen.dontjusttalk,act.dontjusttell,show.dontjustexist,live.","Roy T. Bennett,","['act', 'action', 'change', 'criticize', 'doing', 'dream', 'dreams', 'encouragement', 'experience', 'feeling', 'giving', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'listening', 'living', 'optimism', 'optimistic', 'ponder', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'thinking', 'transform']"
"lettherebespacesinyourtogetherness,andletthewindsoftheheavensdancebetweenyou.loveoneanotherbutmakenotabondofloveletitratherbeamovingseabetweentheshoresofyoursouls.filleachotherscupbutdrinknotfromonecup.giveoneanotherofyourbreadbuteatnotfromthesameloaf.singanddancetogetherandbejoyous,butleteachoneofyoubealone,evenasthestringsofalutearealonethoughtheyquiverwiththesamemusic.giveyourhearts,butnotintoeachotherskeeping.foronlythehandoflifecancontainyourhearts.andstandtogether,yetnottooneartogetherforthepillarsofthetemplestandapart,andtheoaktreeandthecypressgrownotineachothersshadow.","Khalil Gibran,","['love', 'marriage']"
booksarethemirrorsofthesoul.,"Virginia Woolf,","['books', 'metaphor', 'soul']"
"idontknowifyouveeverfeltlikethat.thatyouwantedtosleepforathousandyears.orjustnotexist.orjustnotbeawarethatyoudoexist.orsomethinglikethat.ithinkwantingthatisverymorbid,butiwantitwhenigetlikethis.thatswhyimtryingnottothink.ijustwantitalltostopspinning.","Stephen Chbosky,","['esist', 'sleep', 'spinning']"
becarefuloflove.itlltwistyourbrainaroundandleaveyouthinkingupisdownandrightiswrong.,"Rick Riordan,",['love']
"ifyoulookforperfection,youllneverbecontent.","Leo Tolstoy,",['perfection']
"icanfeelpeetapresshisforeheadintomytempleandheasks,sonowthatyouvegotme,whatareyougoingtodowithmeiturnintohim.putyousomewhereyoucantgethurt.","Suzanne Collins,","['love', 'romance']"
"ivegotastelewecanuse.whowantstodomearegrettablechoiceofwords,mutteredmagnus.","Cassandra Clare,","['jace-wayland', 'magnus-bane', 'regret', 'stele']"
"itkillsmesometimes,howpeopledie.","Markus Zusak,",['death']
"blessedishewhoexpectsnothing,forheshallneverbedisappointed.",Alexander Pope,"['beatitudes', 'disappointment', 'expectations', 'hope']"
thereisnothingintheworldsoirresistiblycontagiousaslaughterandgoodhumor.,"Charles Dickens,","['humor', 'laughter']"
nonebutourselvescanfreeourminds.,Bob Marley,"['bob-marley', 'inspirational', 'music', 'reggae']"
"ididthenwhatiknewhowtodo.nowthatiknowbetter,idobetter.",Maya Angelou,"['attributed', 'education', 'intelligence', 'knowledge', 'unsourced']"
unbeingdeadisntbeingalive.,E. E. Cummings,"['death', 'life', 'poetry']"
"nobodylikesbeingalonethatmuch.idontgooutofmywaytomakefriends,thatsall.itjustleadstodisappointment.","Haruki Murakami,","['disappointment', 'friends', 'friendship', 'life', 'loneliness']"
neversaygoodbyebecausegoodbyemeansgoingawayandgoingawaymeansforgetting.,"J.M. Barrie,",['goodbye']
"friendshipisthehardestthingintheworldtoexplain.itsnotsomethingyoulearninschool.butifyouhaventlearnedthemeaningoffriendship,youreallyhaventlearnedanything.",Muhammad Ali,['friendship']
musicwasmyrefuge.icouldcrawlintothespacebetweenthenotesandcurlmybacktoloneliness.,Maya Angelou,"['loneliness', 'music', 'refuge']"
"donttalktome.whynotbecauseiwanttofixthatinmymemoryforever.dracomalfoy,theamazingbouncingferret...","J.K. Rowling,","['ferret-malfoy', 'harry-potter', 'humor', 'ron-weasley']"
fearcutsdeeperthanswords.,"George R.R. Martin,","['bravery', 'fear']"
"deathmustbesobeautiful.tolieinthesoftbrownearth,withthegrasseswavingaboveoneshead,andlistentosilence.tohavenoyesterday,andnotomorrow.toforgettime,toforgivelife,tobeatpeace.","Oscar Wilde,",['death-peace']
"evenifyoucannotchangeallthepeoplearoundyou,youcanchangethepeopleyouchoosetobearound.lifeistooshorttowasteyourtimeonpeoplewhodontrespect,appreciate,andvalueyou.spendyourlifewithpeoplewhomakeyousmile,laugh,andfeelloved.","Roy T. Bennett,","['appreciate', 'change', 'happiness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'laugh', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'love', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'relationship', 'respect', 'smile', 'value']"
"why,sometimesivebelievedasmanyassiximpossiblethingsbeforebreakfast.","Lewis Carroll,","['alice-in-wonderland', 'breakfast', 'carroll']"
peoplehaventalwaysbeenthereformebutmusicalwayshas.,Taylor Swift,['music']
